code,sub_c,sn,n,dep,program,Regulation,Semester,istheory,ispractical,L,T,P,IM,EM,Cr
14023205,PJ,PS-II,Power Systems - II,2,UG,R-14,VI SEM,1,0,4,0,0,30,70,3
14143206,PJ,DSP,Digital Signal Processing ,2,UG,R-14,VI SEM,1,0,3,1,0,30,70,3
14023207,PJ,HVDCT,High Voltage DC Transmission ,2,UG,R-14,VI SEM,1,0,3,1,0,30,70,3
14153208,PJ,JP,Object Oriented Programming through JAVA ,5,UG,R-14,VI SEM,1,0,3,1,0,30,70,3
14243209,HS,AECS,Advanced English communication Lab(Audit Course) ,6,UG,R-14,VI SEM,0,1,0,0,3,50,50,2
14023210,PJ,CS LAB,Control Systems Lab,2,UG,R-14,VI SEM,0,1,0,0,3,50,50,2
14023211,PJ,EM LAB,Electrical Measurements Lab,2,UG,R-14,VI SEM,0,1,0,0,3,50,50,2
14254101,HS,MS,Management Science,2,UG,R-14,VII SEM,1,0,3,1,0,30,70,3
14024102,PJ,PS-III,Power Systems - III,2,UG,R-14,VII SEM,1,0,3,1,0,30,70,3
14024103,PJ,SG&P,Switch Gear & Protection,2,UG,R-14,VII SEM,1,0,3,1,0,30,70,3
14024104,PJ,FACTS,Flexible AC Transmission Systems,2,UG,R-14,VII SEM,1,0,3,1,0,30,70,3
14024105,PJ,SCT, Soft Computing Techniques          ,2,UG,R-14,VII SEM,1,0,4,0,0,30,70,3
14024106,PJ,HVE, High Voltage Engineering                     ,2,UG,R-14,VII SEM,1,0,4,0,0,30,70,3
14024107,PJ,SEM,Special Electrical Machines,2,UG,R-14,VII SEM,1,0,3,1,0,30,70,3
14134108,PJ,OT, Optimization Techniques                        ,2,UG,R-14,VII SEM,1,0,4,0,0,30,70,3
14144109,PJ,VLSI,VLSI Design,2,UG,R-14,VII SEM,1,0,4,0,0,30,70,3
14024110,PJ,RE&APS,Reliability Engineering & Applications to Power Systems,2,UG,R-14,VII SEM,1,0,3,1,0,30,70,3
14254111,HS,PE,Professional Ethics (Audit Course),2,UG,R-14,VII SEM,1,0,2,0,0,0,0,0
